id;region_name;expiry_date;token
1;область;2021-04-26T10:53:44;внутренний Куртка сжать
2;Игрушки маркетинговый invoice;2021-04-26T00:28:18;логистический обойти Robust
3;многобайтный;2021-04-25T21:28:17;Хлопковый exploit invoice
4;синий;2021-04-26T02:43:31;Генеральный architect proactive
5;разбор Пластиковый;2021-04-25T13:19:25;orchestrate
6;Лоснящийся;2021-04-25T16:54:04;разработчик scale Лоснящийся
7;portals Cross-group Лихтенштейн;2021-04-25T11:31:54;Неодимовый e-enable contingency
8;логистический;2021-04-26T04:03:53;кортеж
9;invoice Aruban disintermediate;2021-04-25T13:04:04;paradigms
10;utilize объект Тунис;2021-04-25T20:21:22;markets Стальной maximize
